_NAME_;_MODEL_;_SKU_
Полотенца бумажные Tork Advanced, однослойные, 165 метров, с центральной вытяжкой;12-0029;12-0029
Полотенца бумажные листовые Tork Singlefold Universal 2-слойные C-сложения 120 листов в упаковке;12-0036;12-0036
Полотенца бумажные листовые Tork Xpress Multifold Advanced 2-слойные Z-сложения 190 листов в упаковке;12-0041;12-0041
Полотенца бумажные листовые Tork Universal 1-слойные ZZ-сложения 250 листов в упаковке;12-0044;12-0044
Полотенца бумажные листовые Tork Xpress Multifold Universal 2-слойные Z-сложения 190 листов в упаковке;12-0045;12-0045
Полотенца бумажные листовые Tork Singlefold Advanced 2-слойные C-сложения 120 листов в упаковке;12-0051;12-0051
Протирочная бумага Tork Плюс, двухслойная, 255 метров, 2 рулона в упаковке;12-0059;12-0059
Полотенца бумажные листовые Tork Xpress Advanced 2-слойные М-сложения 136 листов в упаковке;12-0062;12-0062
Полотенца бумажные Tork Advanced 2-слойные рулон 143 м ширина 24,7 см;12-0074;12-0074
Полотенца бумажные, однослойные, 300 метров, с центральной вытяжкой;12-0076;12-0076
Полотенца бумажные Tork Matic Advanced, 2-слойные, рулон 150 м, с цветным тиснением;12-0078;12-0078
Полотенца бумажные Tork Universal, однослойные, 275 метров, с центральной вытяжкой;12-0102;12-0102
Влажные салфетки для всей семьи с антибактериальным эффектом Vestar, 60 штук в упаковке;12-0180;12-0180
Нежные влажные салфетки Bonne Brise освежающие с экстрактом Алоэ Вера, 15 штук в упаковке;12-0191;12-0191
"Салфетки влажные с экстрактом Зеленого чая ""Bonne Brise"", 15 штук в упаковке";12-0193;12-0193
Нежные влажные салфетки Bonne Brise освежающие, с экстрактом календулы, 15 штук в упаковке;12-0194;12-0194
Полотенца бумажные листовые Tork Advanced 2-слойные ZZ-сложения 250 листов в упаковке;12-0201;12-0201
Полотенца бумажные листовые Tork Premium ультрамягкие 2-слойные ZZ-сложения 200 листов в упаковке;12-0205;12-0205
Туалетная бумага Focus Economic, 2-слойная, 8 рулонов в упаковке;12-0267;12-0267
Салфетки бумажные Duni 33х33 см, 2-слойные, белые, 125 листов в упаковке;12-0295;12-0295
Туалетная бумага Tork Mid-size Universal T6 127540 1-слойная белая 135 м (27 рулонов в упаковке);12-0326;12-0326
Полотенца бумажные Veiro Professional Basic 1-слойные в рулоне 300 метров;12-0365;12-0365
Туалетная бумага листовая Veiro Professional Comfort TV201 2-слойная белая 250 листов (30 упаковок  в коробе);12-0366;12-0366
Полотенца бумажные листовые Veiro Professional Comfort  2-слойные Z-сложения 200 листов в упаковке;12-0371;12-0371
Полотенца бумажные листовые Veiro Professional Premium  2-слойные Z-сложения 200 листов в упаковке;12-0372;12-0372
Полотенца бумажные листовые Veiro Professional Comfort  2-слойные W-сложения 150 листов в упаковке;12-0376;12-0376
Туалетная бумага Veiro Professional Premium T305 2-слойная белая 170 м (12 рулонов в упаковке);12-0377;12-0377
Туалетная бумага Veiro Professional Comfort T207 2-слойная белая 25 м (8 рулонов в упаковке);12-0378;12-0378
Туалетная бумага Veiro Professional Premium T308 2-слойная белая 25 м (8 рулонов в упаковке);12-0379;12-0379
Туалетная бумага  Veiro Professional Premium T309, 3-слойная, 20 м, белая, 8 рулонов в упаковке;12-0380;12-0380
Бумажные полотенца«Мягкий знак» Deluxe двухслойные 2 рулона;12-0381;12-0381
Туалетная бумага натуральная, 1-слойная, 180 метров, 12 штук в упаковке;12-0382;12-0382
Салфетки бумажные серые Tork, 2-х слойные, 33х33 см, 200 листов в пачке;12-0396;12-0396
Полотенца бумажные листовые Tork Advanced 2-слойные ZZ-сложения 200 листов в упаковке;12-0397;12-0397
Туалетная бумага листовая Veiro Professional Premium, 2-слойная, белая, 250 листов, 30 пачек в упаковке;12-0414;12-0414
Туалетная бумага Veiro Professional Comfort T206 2-слойная белая 125 м (12 рулонов в упаковке);12-0415;12-0415
Протирочный материал Veiro Professional Comfort 2-слойный в рулоне 350 метров ширина 24см с центральной вытяжкой синего цвета;12-0418;12-0418
Протирочный материал Veiro Professional Comfort 2-слойный в рулоне 350 метров ширина 33см с центральной вытяжкой синего цвета;12-0420;12-0420
Полотенца бумажные Veiro Professional Comfort 2-слойные в рулоне 100 метров;12-0432;12-0432
