_ID_;_CATEGORY_;_NAME_;_MODEL_;_SKU_
3950;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки гофрированные
Барные аксессуары и товары для сервировки";"Трубочка гофрированная с изгибом, d=5 мм, 21 см, цветные полосы, в упаковке 250 штук";;10-8054
3951;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки гофрированные
Барные аксессуары и товары для сервировки";"Трубочка гофрированная с изгибом, d=5 мм, 21 см, прозрачная, в упаковке 250 штук";;10-8055
3952;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки гофрированные
Барные аксессуары и товары для сервировки";"Трубочка гофрированная с изгибом, d=5 мм, 21 см, цветное ассорти, в упаковке 250 штук";;10-8056
3953;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки гофрированные
Барные аксессуары и товары для сервировки";"Трубочка гофрированная с изгибом, d=5 мм, 21 см, черная, в упаковке 250 штук";;10-8057
3954;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки без изгиба
Барные аксессуары и товары для сервировки";"Трубочка без изгиба, диаметр 8 мм, 24 см, красная, 250 штук";;10-8061
3955;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки без изгиба
Барные аксессуары и товары для сервировки";"Трубочка без изгиба, диаметр 8 мм, 24 см, прозрачная, 500 штук в BOPP пленке";;10-8069
3956;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки без изгиба
Барные аксессуары и товары для сервировки";"Трубочка без изгиба, диаметр 8 мм, 24 см, черная, утолщенная, 500 штук";;10-8074
3957;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки гофрированные
Барные аксессуары и товары для сервировки";"Трубочка гофрированная с изгибом, d=5 мм, 24 см, прозрачная, в упаковке 250 штук";;10-8076
3958;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки без изгиба
Барные аксессуары и товары для сервировки";"Трубочка без изгиба, диаметр 6,5 мм, 21 см, цветное ассорти, 250 штук";;10-8085
3959;"Бумага офисная|Бумага форматная цветная
Бумага офисная";"Бумага А4 IQ Color, 80 г/кв.м, канареечно-желтая, 500 листов в пачке, 5 пачек в упаковке";;11-0004
3960;"Бумага офисная|Бумага форматная цветная
Бумага офисная";"Бумага А4 IQ Color, 80 г/кв.м, кораллово-красная, 500 листов в пачке";;11-0005
3961;"Бумага офисная|Бумага форматная цветная
Бумага офисная";"Бумага А4 IQ Color, 80 г/кв.м, оранжевая, 500 листов в пачке";;11-0006
3962;"Бумага офисная|Бумага форматная цветная
Бумага офисная";"Бумага А4 IQ Color, 80 г/кв.м, солнечно-желтая (SY40), 500 листов в пачке";;11-0007
3963;"Бумага офисная|Бумага форматная цветная
Бумага офисная";"Бумага А4 IQ Color, 80 г/кв.м, ярко-зеленая, 500 листов в пачке";;11-0008
